Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.0,Sun Sep 16 17:04:06 +0000 2018,0.0,1.0,0.0,From overnight oats to kids' fruit cobbler: here are some quick and simple blackberry recipes.  😍… https://t.co/R3NOxFaED1,0,@BBC
0.0,Sun Sep 16 16:02:03 +0000 2018,0.0,1.0,0.0,From Viola Davis to Robert Pattinson: these are the stars who 'regret' their big roles. https://t.co/jfEkKsKryO https://t.co/yD6fxIOBXg,1,@BBC
0.0,Sun Sep 16 15:03:04 +0000 2018,0.0,1.0,0.0,"""You cannot make clothes without pockets!"" 

Miriam getting a makeover is everything. ❤️️

https://t.co/WfjTPgFROW",2,@BBC
-0.1531,Sun Sep 16 14:04:05 +0000 2018,0.176,0.676,0.149,A new scientific study suggests that there are strong similarities between near death experiences and psychedelic d… https://t.co/xgw82FQzeZ,3,@BBC
0.0,Sun Sep 16 14:01:39 +0000 2018,0.0,1.0,0.0,RT @BBCSport: We ❤️ Vera! https://t.co/4jTELqBPBv,4,@BBC
0.5983,Sun Sep 16 13:02:01 +0000 2018,0.0,0.777,0.223,"This is unbelievable! 👕📲️⚽️

Sam is 17 and sells clothes to the likes of @paulpogba, @kylewalker2 and @aubameyang7.

https://t.co/OcXmoK4IlQ",5,@BBC
-0.7717,Sun Sep 16 11:02:07 +0000 2018,0.283,0.717,0.0,"""If someone offered me my arms back, I wouldn't take them"".

Seok Chang-woo lost both arms in a horrific accident,… https://t.co/32iRbW38uV",6,@BBC
0.5574,Sun Sep 16 10:03:03 +0000 2018,0.0,0.66,0.34,"😂😂😂 @kenjeong's laugh is ICONIC. 

@crazyrichmovie @aliplumb

https://t.co/WQu5bdPeQP",7,@BBC
0.6588,Sun Sep 16 09:50:43 +0000 2018,0.0,0.747,0.253,"Space race! 🚀🏃⭐️

@usainbolt is just as great at running in zero gravity...

https://t.co/JRVh3a5TZZ",8,@BBC
0.4588,Sun Sep 16 08:37:46 +0000 2018,0.0,0.875,0.125,"RT @bbcthree: All your fav bits from Ep 1 in one tasty vid.

The #KillingEve boxset is on BBC Three iPlayer now. https://t.co/Fzw1UJZApc",9,@BBC
0.0,Sun Sep 16 08:03:03 +0000 2018,0.0,1.0,0.0,“Singapore is a character in this film”: @gemma_chan talks to Steve Wright about her role in #CrazyRichAsians. 🎬🍿… https://t.co/A2AjFScRV0,10,@BBC
-0.25,Sun Sep 16 07:32:07 +0000 2018,0.298,0.484,0.218,Can cold water swimming treat depression? 💙 https://t.co/iGy1AyPJ0V https://t.co/hXu5SFpgTn,11,@BBC
0.6249,Sun Sep 16 07:02:03 +0000 2018,0.104,0.63,0.266,"These beautiful fish have devastating effects on their habitat, but @reef_org are working to save Miami's coastal w… https://t.co/qXCjAfHtix",12,@BBC
0.4019,Sat Sep 15 21:03:05 +0000 2018,0.0,0.886,0.114,"🐮🤔🐐 Do you know your beef from your GOAT? 

💬 Police have compiled a list of slang words to help them understand te… https://t.co/Zw5LGI8bVv",13,@BBC
-0.91,Sat Sep 15 19:14:04 +0000 2018,0.489,0.511,0.0,"Spying, obsession, murder. @iamsandraoh and @jodiecomer star in Killing Eve. 

#KillingEve | 9:15pm | @BBCOne |… https://t.co/fQDJ2Pc0Az",14,@BBC
0.4404,Sat Sep 15 17:49:36 +0000 2018,0.0,0.791,0.209,RT @bbcthree: This is truly magical: Sue and her underwater wheelchair. https://t.co/CRXs4SlmvL,15,@BBC
0.4215,Sat Sep 15 17:03:02 +0000 2018,0.0,0.817,0.183,"Celebrity dancers from the past 15 years share the inside scoop on their @bbcstrictly experience... 💃🕺✨

Strictly C… https://t.co/UlbvXy2MHj",16,@BBC
-0.5106,Sat Sep 15 16:05:05 +0000 2018,0.202,0.798,0.0,"☕️ ‘Why I rejected Costa Coffee’s £120k offer for my roadside café’. 

📻👉 https://t.co/RSJYIVt5zs https://t.co/mjLYBMHFto",17,@BBC
0.1007,Sat Sep 15 15:04:01 +0000 2018,0.0,0.92,0.08,"What a shot!  😲📷🐟

This photographer captured an image of a heron eating a fish that's eating another fish. 

https://t.co/6Gm608h6n0",18,@BBC
-0.4404,Sat Sep 15 14:03:04 +0000 2018,0.121,0.879,0.0,"The head of a major music label in South Korea has denied reports HyunA and E'Dawn, two members of the pop trio… https://t.co/veTBbeS7MI",19,@BBC
0.0,Sat Sep 15 13:02:04 +0000 2018,0.0,1.0,0.0,"With a suit, shirt and a pair of shoes, Maria can make a life-changing difference. 👔

https://t.co/rdmt94Cuh7",20,@BBC
